epoch,train_loss,train_acc,val_loss,val_acc,val_macro,val_c0,val_c1,val_c2,lr,checkpoint,test_loss,test_acc,test_macro,test_c0,test_c1,test_c2
92,0.5922551143970063,0.7649253731343284,0.8989621187959399,0.4528301954269409,0.3611111111111111,18/27,5/20,1/6,3.125e-06,,,,,,,
93,0.6496423696404072,0.7226368162169385,0.8880908787250519,0.4528301954269409,0.3611111111111111,18/27,5/20,1/6,3.125e-06,,,,,,,
94,0.6368800032494674,0.7139303484069768,0.897297373839787,0.4528301954269409,0.3611111111111111,18/27,5/20,1/6,3.125e-06,,,,,,,
95,0.6615030518663463,0.7350746268656716,0.8993429499013084,0.4716981053352356,0.37777777777777777,18/27,6/20,1/6,3.125e-06,,,,,,,
96,0.5811028553923564,0.7599502490527594,0.8944704490048545,0.4716981053352356,0.37777777777777777,18/27,6/20,1/6,3.125e-06,,,,,,,
97,0.5712487768771043,0.7860696520378341,0.9113789371081761,0.4528301954269409,0.3611111111111111,18/27,5/20,1/6,3.125e-06,,,,,,,
98,0.6018148756294108,0.7574626865671642,0.9033619846616473,0.4716981053352356,0.37777777777777777,18/27,6/20,1/6,3.125e-06,,,,,,,
99,0.6147757003556437,0.746268656716418,0.9034634743418012,0.4528301954269409,0.3611111111111111,18/27,5/20,1/6,3.125e-06,,,,,,,
100,0.5816563910512782,0.7151741296497743,0.9013905014310565,0.4716981053352356,0.37777777777777777,18/27,6/20,1/6,3.125e-06,,,,,,,
TEST,,,,,,,,,,,1.0854406612260001,0.3207547068595886,0.2923076923076923,10/20,6/20,1/13
